brine,scenario,flow_m3hr,n_ports,tide,velocity_ms,exit_velocity_ms,dilution,seabed_salinity_psu,rise_height_m,impact_distance_m,termination
RO concentrate,S1,300,1,slack,0.08,4.57,58.2,37.04,5.51,8.6,seabed
RO concentrate,S1,300,1,neap,0.28,4.57,122.1,36.76,4.31,19.75,seabed
RO concentrate,S1,300,1,spring,0.55,4.57,161.6,36.69,3.58,39.24,seabed
RO concentrate,S2,700,2,slack,0.08,5.33,67.4,36.97,6.39,10.08,seabed
RO concentrate,S2,700,2,neap,0.28,5.33,140.5,36.72,4.97,22.95,seabed
RO concentrate,S2,700,2,spring,0.55,5.33,185.9,36.67,4.11,45.51,seabed
RO concentrate,S3,1200,4,slack,0.08,4.57,58.2,37.04,5.51,8.6,seabed
RO concentrate,S3,1200,4,neap,0.28,4.57,122.1,36.76,4.31,19.75,seabed
RO concentrate,S3,1200,4,spring,0.55,4.57,161.6,36.69,3.58,39.24,seabed
Saturated cavern brine,S1,300,1,slack,0.08,4.57,14.3,51.4,2.65,3.35,seabed
Saturated cavern brine,S1,300,1,neap,0.28,4.57,28.7,43.95,2.36,3.58,seabed
Saturated cavern brine,S1,300,1,spring,0.55,4.57,44.3,41.32,2.11,5.95,seabed
Saturated cavern brine,S2,700,2,slack,0.08,5.33,16.5,49.48,3.03,3.95,seabed
Saturated cavern brine,S2,700,2,neap,0.28,5.33,32.8,43.0,2.69,4.21,seabed
Saturated cavern brine,S2,700,2,spring,0.55,5.33,50.1,40.76,2.39,6.89,seabed
Saturated cavern brine,S3,1200,4,slack,0.08,4.57,14.3,51.4,2.65,3.35,seabed
Saturated cavern brine,S3,1200,4,neap,0.28,4.57,28.7,43.95,2.36,3.58,seabed
Saturated cavern brine,S3,1200,4,spring,0.55,4.57,44.3,41.32,2.11,5.95,seabed
