brine,current,outfall_dist_m,rise_avg_ppt,rise_min_ppt,rise_max_ppt,recirc_risk
RO concentrate,northward 0.25 m/s,600,0.005,0.001,0.021,No
RO concentrate,northward 0.25 m/s,800,0.001,0.0,0.002,No
RO concentrate,northward 0.25 m/s,1000,0.0,0.0,0.0,No
RO concentrate,northward 0.25 m/s,1200,0.0,0.0,0.0,No
RO concentrate,northward 0.25 m/s,1400,0.0,0.0,0.0,No
RO concentrate,southward 0.25 m/s,600,0.009,0.001,0.027,No
RO concentrate,southward 0.25 m/s,800,0.001,0.0,0.004,No
RO concentrate,southward 0.25 m/s,1000,0.0,0.0,0.001,No
RO concentrate,southward 0.25 m/s,1200,0.0,0.0,0.0,No
RO concentrate,southward 0.25 m/s,1400,0.0,0.0,0.0,No
RO concentrate,weak southward 0.05 m/s,600,0.035,0.016,0.061,No
RO concentrate,weak southward 0.05 m/s,800,0.014,0.007,0.024,No
RO concentrate,weak southward 0.05 m/s,1000,0.006,0.003,0.011,No
RO concentrate,weak southward 0.05 m/s,1200,0.003,0.002,0.005,No
RO concentrate,weak southward 0.05 m/s,1400,0.002,0.001,0.003,No
Saturated cavern brine,northward 0.25 m/s,600,0.076,0.009,0.287,Yes
Saturated cavern brine,northward 0.25 m/s,800,0.01,0.001,0.034,No
Saturated cavern brine,northward 0.25 m/s,1000,0.001,0.0,0.005,No
Saturated cavern brine,northward 0.25 m/s,1200,0.0,0.0,0.001,No
Saturated cavern brine,northward 0.25 m/s,1400,0.0,0.0,0.0,No
Saturated cavern brine,southward 0.25 m/s,600,0.125,0.019,0.363,Yes
Saturated cavern brine,southward 0.25 m/s,800,0.017,0.003,0.057,No
Saturated cavern brine,southward 0.25 m/s,1000,0.003,0.0,0.009,No
Saturated cavern brine,southward 0.25 m/s,1200,0.0,0.0,0.002,No
Saturated cavern brine,southward 0.25 m/s,1400,0.0,0.0,0.0,No
Saturated cavern brine,weak southward 0.05 m/s,600,0.808,0.369,1.42,Yes
Saturated cavern brine,weak southward 0.05 m/s,800,0.319,0.158,0.55,Yes
Saturated cavern brine,weak southward 0.05 m/s,1000,0.143,0.074,0.247,Yes
Saturated cavern brine,weak southward 0.05 m/s,1200,0.073,0.038,0.124,Yes
Saturated cavern brine,weak southward 0.05 m/s,1400,0.039,0.021,0.067,No
